time,altitude,latitude,longitude,atmosphereDensity,dynamicPressure,totalAirTemp,staticAirTemp,speed,acceleration,jerk,gForce
1.0600000000231375,131.86693207721692,-0.09727213779767095,-74.55765123849574,1.1315321922302246,53.65097427368164,305.8780212402344,305.8763732910156,8.951848440893395,8.776322000684308,8.604237255385039,0.8946301733623148
2.2000000000480213,148.2144135844428,-0.09727210728004247,-74.55765439109155,1.1293905973434448,227.44406127929688,305.7519226074219,305.7519226074219,20.269891927718394,11.31804348657795,2.541721485838162,1.153725126052798
3.2200000000702858,174.0472162090009,-0.09727188670313086,-74.5576602643672,1.1258723735809326,520.32177734375,305.53955078125,305.53955078125,30.60692623363158,10.134347358517205,-1.1604864000342234,1.0330629315511932
4.220000000092114,209.70629002153873,-0.09727150527369242,-74.55766930507468,1.1210201978683472,929.8546142578125,305.2453918457031,305.2453918457031,40.9387107446206,10.3317845107635,0.1974371522419849,1.0531890428912842
5.240000000114378,256.8242380981101,-0.0972710270287295,-74.55768248593495,1.1146295070648193,1476.4324951171875,304.8551330566406,304.8551330566406,51.68297870591205,10.533596040251886,0.19785444067057015,1.07376106424586
6.2600000001366425,315.00721609650645,-0.09727051464859798,-74.55770044972064,1.1067779064178467,2156.33203125,304.3708801269531,304.3708801269531,62.63961052552386,10.741795901345732,0.20411751087186375,1.0949842916764252
7.280000000158907,384.47400327201467,-0.09726995293163163,-74.55772416723659,1.097464680671692,2971.80615234375,303.7894592285156,303.7894592285156,73.81308893144798,10.954390593804145,0.20842616907232642,1.1166555141492502
8.300000000181171,465.44795622921083,-0.09726927197601046,-74.5577546693915,1.0866954326629639,3924.056884765625,303.1073303222656,303.1073303222656,85.20793972398157,11.171422345377318,0.21277622702787724,1.1387790362260262
9.320000000203436,558.1570378496544,-0.09726841255381345,-74.55779292365042,1.0744805335998535,5013.13916015625,302.3207702636719,302.3207702636719,96.82861115035833,11.392815123650102,0.2170517433999531,1.161347107405719
10.3400000002257,662.8342323898105,-0.09726736799947998,-74.55783982564083,1.0608371496200562,6237.99365234375,301.4255676269531,301.4255676269531,108.6805575634941,11.61955530674223,0.22229429714429252,1.1844602759166392
11.340000000247528,777.3081338315969,-0.09726619430682568,-74.55789504335763,1.046095371246338,7568.65869140625,300.438232421875,300.438232421875,120.5319039280366,11.851346364283804,0.23179105753651497,1.2080883144020187
