time,altitude,latitude,longitude,atmosphereDensity,dynamicPressure,totalAirTemp,staticAirTemp,speed,acceleration,jerk,gForce
4277.230372151851,47356.211201275466,-0.6462774139896349,-156.07128281845806,0.0004445475642569363,880.904296875,6248.244140625,219.19915771484375,1986.3214144474418,1986.3214144474418,1986.3214144474418,202.479247140412
4278.370372151876,47027.81627408636,-0.643932729210218,-155.8490495151267,0.0005534309311769903,1092.9417724609375,6250.48828125,218.93568420410156,1987.4025920841161,1.0811776366742833,-1985.2402368107676,0.11021178763244478
4279.370372151898,46735.65835786855,-0.6417895850504006,-155.643045402752,0.0006664597312919796,1317.37744140625,6252.66455078125,218.650634765625,1988.3239717515455,0.9213796674293917,-0.15979796924489165,0.09392249413143645
4280.39037215192,46432.87473449693,-0.6395489092433804,-155.42856523174626,0.0007944689714349806,1571.9075927734375,6254.90185546875,218.33270263671875,1989.2711586866374,0.9471869350918496,0.02580726766245789,0.09655320439264521
4281.410372151942,46142.76380518812,-0.6373830117980991,-155.222108776736,0.0009274675394408405,1836.71337890625,6257.02587890625,218.00711059570312,1990.1702487351922,0.8990900485548536,-0.04809688653699595,0.09165036172832351
4282.410372151964,45847.89600049297,-0.6351623555292383,-155.01129684836843,0.001072990125976503,2126.83154296875,6259.162109375,217.65672302246094,1991.0745536748304,0.904304939638223,0.005214891083369366,0.092181951033458
4283.430372151986,45554.091838364024,-0.6329302733290308,-154.80025788723248,0.0012283362448215485,2436.9306640625,6261.265625,217.28871154785156,1991.965074473909,0.8905207990785584,-0.013784140559664593,0.09077683986529647
4284.470372152009,45261.35969923984,-0.6306868285670216,-154.58899352469462,0.0013933648588135839,2766.769287109375,6263.3359375,216.904296875,1992.8414552698964,0.8763807959874157,-0.014140003091142717,0.08933545320972637
4285.490372152031,44969.70761282614,-0.6284319459950742,-154.37750545573192,0.0015679353382438421,3116.1025390625,6265.37158203125,216.5049285888672,1993.7028661313998,0.8614108615033729,-0.014969934484042824,0.08780946600442129
4286.510372152054,44673.458879983635,-0.626120974781435,-154.1616420709832,0.001755606266669929,3492.09326171875,6267.40576171875,216.08355712890625,1994.5637142894325,0.8608481580326952,-0.0005627034706776612,0.0877521058137304
4287.550372152076,44384.0203903683,-0.6238428375464454,-153.94970792501252,0.0019490206614136696,3880.02783203125,6269.357421875,215.65731811523438,1995.3894546154506,0.8257403260181491,-0.03510783201454615,0.08417332579186025
4288.530372152098,44101.33830466098,-0.6215983373958295,-153.74171802387607,0.002147495048120618,4278.53857421875,6271.22900390625,215.22817993164062,1996.181600495769,0.7921458803184578,-0.03359444569969128,0.08074881552685603
4289.55037215212,43814.11229161732,-0.6192977843322214,-153.5293547352187,0.0023588337935507298,4703.32666015625,6273.09912109375,214.78009033203125,1996.9731576073589,0.7915571115897819,-0.0005887687286758592,0.08068879832719489
4290.590372152143,43528.0121017613,-0.6169859858766416,-153.3167777252092,0.002579023130238056,5146.3603515625,6274.93017578125,214.3225860595703,1997.7481076936938,0.7749500863349112,-0.016607025254870678,0.07899593132873713
4291.5903721521645,43243.04501247173,-0.6146629177929375,-153.10398910199652,0.002807917771860957,5607.35546875,6276.716796875,213.8567352294922,1998.5040112762247,0.7559035825308911,-0.019046503804020176,0.0770543916952998
4292.610372152187,42959.22288995783,-0.6123285423739746,-152.8909912177419,0.0030453759245574474,6086.02685546875,6278.453125,213.38360595703125,1999.2383041074886,0.7342928312639287,-0.021610751266962325,0.07485146088317315
4293.630372152209,42676.558694423875,-0.6099828919523276,-152.6777865822901,0.0032912520691752434,6582.08984375,6280.1376953125,212.90423583984375,1999.9508458942141,0.7125417867255237,-0.02175104453840504,0.07263422902400853
4294.650372152231,42395.061038418324,-0.6076260536651243,-152.46437765595527,0.0035453960299491882,7095.26171875,6281.775390625,212.41961669921875,2000.6436313149163,0.6927854207021937,-0.019756366023329974,0.07062032830807276
4295.690372152254,42109.25019815087,-0.6052115383353047,-152.24657637376785,0.0038128888700157404,7635.81982421875,6283.396484375,211.9210968017578,2001.3293873358725,0.6857560209562052,-0.007029399745988485,0.0699037737977783
4296.710372152276,41830.127324467525,-0.6028322558012152,-152.0327623332344,0.004083283711224794,8182.626953125,6284.931640625,211.4288330078125,2001.9780221426863,0.6486348068137886,-0.03712121414241665,0.06611975604625775
4297.750372152299,41552.197439767304,-0.6004419062067383,-151.81875189606953,0.0043614935129880905,8745.587890625,6286.40625,210.93409729003906,2002.6012081548336,0.6231860121472437,-0.025448794666544927,0.06352558737484644
4298.750372152321,41275.471407478326,-0.5980404969543369,-151.60454796464467,0.004647348076105118,9324.361328125,6287.82421875,210.43820190429688,2003.2006107598556,0.5994026050220782,-0.023783407125165468,0.06110118297880512
4299.7903721523435,40999.95579694712,-0.5956281330776697,-151.39015332927855,0.004940694198012352,9918.6376953125,6289.1884765625,209.94163513183594,2003.7771530809252,0.5765423210696099,-0.022860283952468308,0.058770878804241575
4300.790372152365,40731.024559235084,-0.5932524985732518,-151.17978013323258,0.005235407035797834,10515.9658203125,6290.47021484375,209.4550018310547,2004.318123913687,0.5409708327617864,-0.03557148830782353,0.05514483514391298
4301.790372152387,40457.93187852285,-0.5908185971458355,-150.96501645714628,0.005543089006096125,11139.828125,6291.71435546875,208.9600830078125,2004.8436046615998,0.5254807479127521,-0.015490084849034247,0.05356582547530602
4302.690372152407,40218.00148414285,-0.58866204503657,-150.77537054831464,0.00582036841660738,11702.359375,6292.78369140625,208.52491760253906,2005.2966201970185,0.4530155354186718,-0.07246521249408033,0.04617895366143443
